reg_season,home_team,away_team,game_date,away_player_one,away_player_two,away_player_three,away_player_four,away_player_five,home_player_one,home_player_two,home_player_three,home_player_four,home_player_five,head_ref,away_rest_days,home_rest_days,spread,result
True,New Orleans,Orlando,2014-10-28 00:00:00,Tobias Harris,Kyle OQuinn,Nikola Vucevic,Evan Fournier,Elfrid Payton,Tyreke Evans,Anthony Davis,Omer Asik,Eric Gordon,Jrue Holiday,Tony Brothers,3,3,9.5,home_cover
True,San Antonio,Dallas,2014-10-28 00:00:00,Chandler Parsons,Dirk Nowitzki,Tyson Chandler,Monta Ellis,Jameer Nelson,Marco Belinelli,Tim Duncan,Matt Bonner,Danny Green,Tony Parker,Jason Phillips,3,3,6,away_cover
True,LA Lakers,Houston,2014-10-28 00:00:00,Trevor Ariza,Terrence Jones,Dwight Howard,James Harden,Patrick Beverley,Wesley Johnson,Carlos Boozer,Jordan Hill,Kobe Bryant,Jeremy Lin,Derek Richardson,3,3,-6.5,away_cover
True,Charlotte,Milwaukee,2014-10-29 00:00:00,Khris Middleton,Jabari Parker,Larry Sanders,Jared Dudley,Brandon Knight,Michael Kidd-Gilchrist,Marvin Williams,Al Jefferson,Lance Stephenson,Kemba Walker,James Capers,3,3,9,away_cover
True,Indiana,Philadelphia,2014-10-29 00:00:00,Chris Johnson,Nerlens Noel,Henry Sims,Hollis Thompson,Tony Wroten,Solomon Hill,Luis Scola,Roy Hibbert,CJ Miles,Donald Sloan,Leroy Richardson,3,3,8.5,home_cover
True,Boston,Brooklyn,2014-10-29 00:00:00,Joe Johnson,Kevin Garnett,Mason Plumlee,Bojan Bogdanovic,Deron Williams,Jeff Green,Jared Sullinger,Kelly Olynyk,Avery Bradley,Rajon Rondo,Bennett Salvatore,3,3,-1.5,home_cover
True,Miami,Washington,2014-10-29 00:00:00,Paul Pierce,Drew Gooden,Marcin Gortat,Garrett Temple,John Wall,Luol Deng,Shawne Williams,Chris Bosh,Dwyane Wade,Norris Cole,Derrick Stafford,3,3,4.5,home_cover
True,Toronto,Atlanta,2014-10-29 00:00:00,DeMarre Carroll,Paul Millsap,Al Horford,Kyle Korver,Jeff Teague,Terrence Ross,Amir Johnson,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,Mike Callahan,3,3,5.5,home_cover
True,Memphis,Minnesota,2014-10-29 00:00:00,Andrew Wiggins,Thaddeus Young,Nikola Pekovic,Corey Brewer,Ricky Rubio,Tony Allen,Zach Randolph,Marc Gasol,Courtney Lee,Mike Conley,Scott Foster,3,3,8.5,away_cover
True,New York,Chicago,2014-10-29 00:00:00,Mike Dunleavy,Pau Gasol,Joakim Noah,Kirk Hinrich,Derrick Rose,Carmelo Anthony,Amare Stoudemire,Samuel Dalembert,Shane Larkin,Iman Shumpert,Sean Corbin,3,3,-4,away_cover
